# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTZToLLNuNu_M-10, 2017, 1, 6050, 4527218, 654
TTZToLLNuNu_M-10, 2017, 1, 6050, 4527595, 424
TTZToLLNuNu_M-10, 2017, 1, 3594, 2689367, 352
TTZToLLNuNu_M-10, 2017, 1, 3631, 2716911, 313
TTZToLLNuNu_M-10, 2017, 1, 4682, 3503553, 507
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 30375, 199805300, 331
TTZToLLNuNu_M-10, 2017, 1, 2785, 2083653, 507
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 132576, 878180825, 328
TTZToLLNuNu_M-10, 2017, 1, 4739, 3546005, 333
TTZToLLNuNu_M-10, 2017, 1, 2471, 1849632, 492
TTZToLLNuNu_M-10, 2017, 1, 881, 658945, 351
TTZToLLNuNu_M-10, 2017, 1, 6016, 4502127, 327
TTZToLLNuNu_M-10, 2017, 1, 2864, 2142984, 388
ZJetsToNuNu_HT-400To600, 2017, 1, 289, 2482985, 389
TTZToLLNuNu_M-10, 2017, 1, 5185, 3879855, 334
TTZToLLNuNu_M-10, 2017, 1, 3164, 2367927, 300
TTZToLLNuNu_M-10, 2017, 1, 3284, 2457397, 483
TTZToLLNuNu_M-10, 2017, 1, 2876, 2151749, 897
TTZToLLNuNu_M-10, 2017, 1, 2149, 1607830, 333
TTZToLLNuNu_M-10, 2017, 1, 6011, 4498720, 372
TTZToLLNuNu_M-10, 2017, 1, 9359, 7003850, 392
TTZToLLNuNu_M-10, 2017, 1, 3185, 2383445, 303
TTZToLLNuNu_M-10, 2017, 1, 6970, 5215808, 371
TTZToLLNuNu_M-10, 2017, 1, 6611, 4947194, 351
TTZToLLNuNu_M-10, 2017, 1, 6470, 4841916, 530
ZJetsToNuNu_HT-600To800, 2017, 1, 3171, 28559818, 593
TTZToLLNuNu_M-10, 2017, 1, 5811, 4348528, 351
TTZToLLNuNu_M-10, 2017, 1, 5656, 4232708, 409
TTZToLLNuNu_M-10, 2017, 1, 5656, 4232718, 369
TTZToLLNuNu_M-10, 2017, 1, 1586, 1187152, 344
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 71902, 476273379, 344
